Name,Time,Cumulative PnL
TestInstance,2022-Jan-25 14:30:38.703752,0.000000
TestInstance,2022-Jan-25 14:32:01.219192,0.000000
TestInstance,2022-Jan-25 14:33:11.044780,0.000000
TestInstance,2022-Jan-25 14:34:17.345911,0.000000
TestInstance,2022-Jan-25 14:35:17.981378,0.000000
TestInstance,2022-Jan-25 14:36:34.376133,0.000000
TestInstance,2022-Jan-25 14:37:37.491453,0.000000
TestInstance,2022-Jan-25 14:38:55.128454,0.000000
TestInstance,2022-Jan-25 14:40:02.595063,0.000000
TestInstance,2022-Jan-25 14:41:32.148391,0.000000
TestInstance,2022-Jan-25 14:45:12.475326,0.000000
TestInstance,2022-Jan-25 14:46:17.843577,0.000000
TestInstance,2022-Jan-25 14:47:20.012996,0.000000
TestInstance,2022-Jan-25 14:48:57.089751,0.000000
TestInstance,2022-Jan-25 14:50:07.594875,0.000000
TestInstance,2022-Jan-25 14:51:23.561938,0.000000
TestInstance,2022-Jan-25 14:52:38.259991,0.000000
TestInstance,2022-Jan-25 14:53:56.395685,0.000000
TestInstance,2022-Jan-25 14:55:16.291568,0.000000
TestInstance,2022-Jan-25 14:56:36.584689,0.000000
TestInstance,2022-Jan-25 14:57:59.775784,0.000000
TestInstance,2022-Jan-25 14:59:08.139736,0.000000
TestInstance,2022-Jan-25 15:00:17.046586,0.000000
TestInstance,2022-Jan-25 15:01:37.381054,0.000000
TestInstance,2022-Jan-25 15:02:57.568008,0.000000
TestInstance,2022-Jan-25 15:04:13.405993,0.000000
TestInstance,2022-Jan-25 15:05:36.352973,0.000000
TestInstance,2022-Jan-25 15:07:01.683732,0.000000
TestInstance,2022-Jan-25 15:08:13.430988,0.000000
TestInstance,2022-Jan-25 15:09:31.878742,0.000000
TestInstance,2022-Jan-25 15:10:34.989401,0.000000
TestInstance,2022-Jan-25 15:12:01.202222,0.000000
TestInstance,2022-Jan-25 15:13:11.626561,0.000000
TestInstance,2022-Jan-25 15:14:46.185871,0.000000
TestInstance,2022-Jan-25 15:15:48.826844,-475.697200
TestInstance,2022-Jan-25 15:16:58.862219,531.382800
TestInstance,2022-Jan-25 15:18:06.657081,42.652800
TestInstance,2022-Jan-25 15:19:24.469155,797.962800
TestInstance,2022-Jan-25 15:20:36.704567,353.662800
TestInstance,2022-Jan-25 15:21:39.814259,42.652800
