index,price,signal,volume,date,weight
0,132.80999755859375,0,70783700,2021-06-25 00:00:00-04:00,0
1,141.6699981689453,0,121434600,2021-07-19 00:00:00-04:00,1
2,145.3000030517578,0,69023100,2021-08-10 00:00:00-04:00,1
3,146.8300018310547,0,55802400,2021-08-27 00:00:00-04:00,0
4,139.1999969482422,0,78762700,2021-10-13 00:00:00-04:00,0
5,167.4600067138672,0,107499100,2021-12-20 00:00:00-05:00,1
6,177.25999450683594,0,64062300,2021-12-31 00:00:00-05:00,0
7,154.6999969482422,0,162294600,2022-01-24 00:00:00-05:00,1
8,170.67999267578125,0,82465400,2022-02-04 00:00:00-05:00,1
9,150.10000610351562,0,108732100,2022-03-14 00:00:00-04:00,1
10,165.5,0,72246700,2022-04-11 00:00:00-04:00,1
11,153.27000427246094,0,123055300,2022-05-02 00:00:00-04:00,1
12,131.44000244140625,0,122207100,2022-06-13 00:00:00-04:00,2
13,133.77000427246094,0,98964500,2022-06-30 00:00:00-04:00,2
14,150.8000030517578,0,55138700,2022-07-26 00:00:00-04:00,1
15,152.67999267578125,0,84923800,2022-09-08 00:00:00-04:00,1
16,148.55999755859375,0,96029900,2022-09-23 00:00:00-04:00,1
17,144.1300048828125,0,109180200,2022-10-27 00:00:00-04:00,1
0,150.0,1,106820300,2021-07-15 00:00:00-04:00,2
1,151.67999267578125,1,92229700,2021-08-17 00:00:00-04:00,2
2,147.47000122070312,1,53477900,2021-09-24 00:00:00-04:00,0
3,152.42999267578125,1,60394600,2021-11-04 00:00:00-04:00,0
4,181.13999938964844,1,150185800,2021-12-16 00:00:00-05:00,1
5,182.94000244140625,1,99310400,2022-01-04 00:00:00-05:00,1
6,176.24000549316406,1,89418100,2022-02-03 00:00:00-05:00,1
7,173.33999633789062,1,61177400,2022-02-16 00:00:00-05:00,1
8,179.61000061035156,1,92633200,2022-03-30 00:00:00-04:00,1
9,166.47999572753906,1,108256500,2022-05-04 00:00:00-04:00,1
10,149.8699951171875,1,53950200,2022-06-08 00:00:00-04:00,1
11,156.27999877929688,1,66675400,2022-07-22 00:00:00-04:00,1
12,163.6300048828125,1,101786900,2022-07-29 00:00:00-04:00,1
13,176.14999389648438,1,79542000,2022-08-17 00:00:00-04:00,1
14,164.25999450683594,1,104956000,2022-09-12 00:00:00-04:00,1
15,154.72000122070312,1,84442700,2022-09-27 00:00:00-04:00,1
16,152.49000549316406,1,74732300,2022-10-25 00:00:00-04:00,1
