index,price,signal,volume,date,weight
0,248.49000549316406,0,8799000,2021-06-04 00:00:00-04:00,0
1,235.66000366210938,0,16743900,2021-06-29 00:00:00-04:00,1
2,204.8000030517578,0,24123600,2021-07-19 00:00:00-04:00,2
3,221.3000030517578,0,7326400,2021-08-03 00:00:00-04:00,2
4,215.91000366210938,0,8341400,2021-08-26 00:00:00-04:00,1
5,204.60000610351562,0,8825500,2021-10-28 00:00:00-04:00,1
6,217.27000427246094,0,8197600,2021-11-10 00:00:00-05:00,1
7,185.25999450683594,0,10256400,2021-12-20 00:00:00-05:00,1
8,200.02999877929688,0,8053000,2021-12-31 00:00:00-05:00,1
9,208.75999450683594,0,6481400,2022-02-14 00:00:00-05:00,1
10,113.0199966430664,0,17549800,2022-06-14 00:00:00-04:00,1
11,130.08999633789062,0,10746900,2022-06-23 00:00:00-04:00,1
12,134.88999938964844,0,6176500,2022-07-11 00:00:00-04:00,1
13,157.91000366210938,0,5312300,2022-08-22 00:00:00-04:00,1
14,124.16999816894531,0,7842300,2022-10-13 00:00:00-04:00,0
0,252.3000030517578,1,9625800,2021-06-25 00:00:00-04:00,1
1,241.14999389648438,1,6810000,2021-08-12 00:00:00-04:00,0
2,227.97000122070312,1,6946100,2021-10-04 00:00:00-04:00,0
3,233.94000244140625,1,21921900,2021-11-15 00:00:00-05:00,2
4,223.22999572753906,1,11695900,2022-02-10 00:00:00-05:00,2
5,207.30999755859375,1,9859300,2022-02-28 00:00:00-05:00,2
6,157.99000549316406,1,7950800,2022-05-05 00:00:00-04:00,1
7,142.2100067138672,1,5833700,2022-06-08 00:00:00-04:00,1
8,142.27999877929688,1,7674400,2022-07-07 00:00:00-04:00,1
9,162.74000549316406,1,16356600,2022-07-27 00:00:00-04:00,1
10,173.85000610351562,1,5259600,2022-08-16 00:00:00-04:00,1
11,149.8699951171875,1,6244300,2022-09-21 00:00:00-04:00,1
