index,price,signal,volume,date,weight
0,348.1300048828125,0,6290100,2021-06-18 00:00:00-04:00,2
1,355.5899963378906,0,2940500,2021-07-08 00:00:00-04:00,2
2,390.9100036621094,0,2241500,2021-08-19 00:00:00-04:00,1
3,372.82000732421875,0,2895600,2021-10-04 00:00:00-04:00,1
4,378.6300048828125,0,2391600,2021-10-13 00:00:00-04:00,1
5,404.6199951171875,0,2162100,2021-10-21 00:00:00-04:00,1
6,409.05999755859375,0,1444700,2021-10-28 00:00:00-04:00,1
7,397.25,0,2243900,2021-11-10 00:00:00-05:00,1
8,376.0299987792969,0,3343700,2021-12-02 00:00:00-05:00,1
9,326.2300109863281,0,6569800,2022-01-24 00:00:00-05:00,1
10,333.45001220703125,0,3714600,2022-01-28 00:00:00-05:00,1
11,308.20001220703125,0,3562600,2022-04-07 00:00:00-04:00,1
12,314.7200012207031,0,3022900,2022-04-13 00:00:00-04:00,1
13,278.32000732421875,0,4218100,2022-06-13 00:00:00-04:00,1
14,288.3599853515625,0,2480900,2022-07-05 00:00:00-04:00,1
15,327.2200012207031,0,1862900,2022-08-02 00:00:00-04:00,1
16,287.75,0,2724900,2022-10-13 00:00:00-04:00,1
0,393.260009765625,1,2188700,2021-06-07 00:00:00-04:00,0
1,385.3299865722656,1,6466800,2021-07-13 00:00:00-04:00,2
2,418.6199951171875,1,2312800,2021-08-12 00:00:00-04:00,1
3,404.2099914550781,1,2609000,2021-09-28 00:00:00-04:00,1
4,415.94000244140625,1,3832300,2021-10-18 00:00:00-04:00,1
5,419.80999755859375,1,1843300,2021-10-26 00:00:00-04:00,1
6,426.1600036621094,1,3000800,2021-11-02 00:00:00-04:00,1
7,401.75,1,2441000,2021-12-07 00:00:00-05:00,1
8,412.6600036621094,1,3469600,2022-01-05 00:00:00-05:00,1
9,346.7699890136719,1,5861900,2022-03-18 00:00:00-04:00,1
10,347.3500061035156,1,3097800,2022-04-21 00:00:00-04:00,1
11,315.1499938964844,1,2798400,2022-05-10 00:00:00-04:00,1
12,329.7200012207031,1,2722900,2022-05-31 00:00:00-04:00,1
13,329.04998779296875,1,1830300,2022-07-22 00:00:00-04:00,1
14,335.17999267578125,1,2112200,2022-07-29 00:00:00-04:00,1
15,348.739990234375,1,1703900,2022-08-26 00:00:00-04:00,1
16,315.1600036621094,1,2399500,2022-10-04 00:00:00-04:00,1
