index,price,signal,volume,date,weight
0,243.0,0,25307700,2021-06-03 00:00:00-04:00,0
1,274.45001220703125,0,32935600,2021-07-19 00:00:00-04:00,1
2,283.739990234375,0,16267400,2021-08-02 00:00:00-04:00,0
3,288.6400146484375,0,29850500,2021-08-19 00:00:00-04:00,0
4,296.8299865722656,0,22605700,2021-08-27 00:00:00-04:00,0
5,289.5199890136719,0,38278700,2021-09-20 00:00:00-04:00,1
6,292.3500061035156,0,17974100,2021-10-12 00:00:00-04:00,0
7,318.0299987792969,0,41779300,2021-12-03 00:00:00-05:00,1
8,304.69000244140625,0,44289500,2022-01-10 00:00:00-05:00,1
9,271.5199890136719,0,56989700,2022-02-24 00:00:00-05:00,2
10,275.82000732421875,0,30660700,2022-03-14 00:00:00-04:00,1
11,305.5400085449219,0,27110500,2022-04-01 00:00:00-04:00,1
12,270.0,0,46518400,2022-04-26 00:00:00-04:00,2
13,246.44000244140625,0,39199300,2022-05-20 00:00:00-04:00,2
14,252.89999389648438,0,31730900,2022-06-30 00:00:00-04:00,2
15,272.3800048828125,0,22754200,2022-08-02 00:00:00-04:00,1
16,232.72999572753906,0,35694800,2022-09-30 00:00:00-04:00,1
17,225.77999877929688,0,40424600,2022-10-27 00:00:00-04:00,1
0,280.69000244140625,1,23260000,2021-07-07 00:00:00-04:00,1
1,289.989990234375,1,22768100,2021-07-23 00:00:00-04:00,1
2,305.19000244140625,1,18983800,2021-09-01 00:00:00-04:00,0
3,300.8999938964844,1,18604600,2021-09-23 00:00:00-04:00,0
4,349.6700134277344,1,31031100,2021-11-22 00:00:00-05:00,1
5,344.29998779296875,1,15042000,2021-12-29 00:00:00-05:00,0
6,300.8699951171875,1,29982100,2022-02-16 00:00:00-05:00,1
7,303.1300048828125,1,27314500,2022-03-03 00:00:00-05:00,1
8,315.95001220703125,1,28163600,2022-03-30 00:00:00-04:00,1
9,290.9800109863281,1,33646600,2022-04-28 00:00:00-04:00,2
10,277.69000244140625,1,25292200,2022-06-01 00:00:00-04:00,2
11,269.05999755859375,1,20859900,2022-07-07 00:00:00-04:00,1
12,282.0,1,32152800,2022-07-29 00:00:00-04:00,2
13,294.17999267578125,1,18085700,2022-08-15 00:00:00-04:00,1
14,267.45001220703125,1,18747700,2022-09-12 00:00:00-04:00,1
15,251.0399932861328,1,34775500,2022-10-25 00:00:00-04:00,2
